SWIS Number ,Site Name,Activity,Activity Is Archived,OperationalStatus,RegulatoryStatus,Category,Activity Classification,WDRNo,WDR Landfill Class,Cease Operation,Cease Operation Type,Inspection Frequency,Throughput,ThroughputUnits,RemainingCapacity,Remaining Capacity Date,Capacity,CapacityUnits,Total Acreage,DisposalAcreage,Permitted Elevation,Permitted Elevation Type,Permitted Depth,Permitted Depth Type,Point of Contact,Site Operational Status,Site Regulatory Status,Site Is Archived,IsClosedIllegalAbandoned,IsSiteInertDebrisEngineeredFill,IsFinancialAssurancesResponsible,Absorbed On,Absorbed By,ClosedIllegalAbandonedCategory,EPA Federal Registry ID,Latitude,Longitude,Site ZIP Code,County,ARB District,SWRCB Region,Local Government,Street Address,City,State,ZIP Code,Reporting Agency Legal Name,Reporting Agency Department,Enforcing Agency Legal Name,Enforcing Agency Department
01-AA-0006,Davis Street Sanitary Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,12/23/1986,Actual,Quarterly,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Permitted,No,Yes,No,No,,,A2,,37.7144,-122.1948,94577,Alameda,Bay Area,San Francisco Bay,San Leandro,W End Of Davis St.,San Leandro,CA,94577,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-AC-0029,Cty of Berk Solid Waste Mgmt Center & TS,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,560,Tons per day,,,560,Tons per day,4.7,,,,,,Lily Tieu,Active,Permitted,No,Yes,No,No,,,,,37.88034,-122.30579,94710,Alameda,Bay Area,San Francisco Bay,Berkeley,1201 2nd St,Berkeley,CA,94710,City of Berkeley,--,Department of Resources Recycling and Recovery,"Waste Permitting, Compliance and Mitigation Division"
01-CR-0005,Old West Winton Landfill,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1974,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C2,,37.645,-122.1491,94545,Alameda,Bay Area,San Francisco Bay,Hayward,S Side Of W End W Winton Rd,Hayward,CA,94545,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-CR-0031,Crow Canyon SWDS,Solid Waste Disposal Site          ,No,Closed,To Be Determined,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,TBD (Pending Investigation) ,No,Yes,No,No,,,C2,,37.7347,-122.017,94541,Alameda,Bay Area,San Francisco Bay,Hayward,8795 Norris Canyon Rd,Hayward,CA,94552,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
03-CR-0005,Old Sutter Creek Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,None,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,C1,,38.41931,-120.776,95685,Amador,Amador,Central Valley,Sutter Creek,"13680 Shake Ridge Rd,1000` Fr Pine Gulch",Sutter Creek,CA,95685,County of Amador,Environmental Health Department,County of Amador,Environmental Health Department
03-CR-0012,Preston School Private Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,None,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,C2,,38.36959,-120.9337,95640,Amador,Amador,Central Valley,Ione,Old Waits Station Road,Ione,CA,95640,County of Amador,Environmental Health Department,County of Amador,Environmental Health Department
03-CR-0023,Petersen Ranch Subdivision,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1953,Estimated,None,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C1,,38.40451,-120.66607,95665,Amador,Amador,Central Valley,Amador County (Unincorporated),Irish Town Rd Nr Spagnoli Mine Rd,Pine Grove,CA,95665,County of Amador,Environmental Health Department,County of Amador,Environmental Health Department
04-AA-0009,Louisiana-Pacific Landfill,Nonhazardous Ash Disposal/Monofill Facility,No,Closed,Permitted,Disposal,Solid Waste Facility,,,1/1/1988,Estimated,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Permitted,No,Yes,No,No,,,D,,39.47206,-121.55333,95965,Butte,Butte,Central Valley,Oroville,Btwn Baggett-Marysville Rd & Ophir Rd,Oroville,CA,95965,County of Butte,Public Health Department,County of Butte,Public Health Department
04-AA-0009,Louisiana-Pacific Landfill,Wood Waste Disposal Site,No,Closed,Permitted,Disposal,Solid Waste Facility,,II,1/1/1988,Actual,None,30,Tons per day,,,,,115,0,,,,,Abel Martinez-Centeno,Closed,Permitted,No,Yes,No,No,,,D,,39.47206,-121.55333,95965,Butte,Butte,Central Valley,Oroville,Btwn Baggett-Marysville Rd & Ophir Rd,Oroville,CA,95965,County of Butte,Public Health Department,County of Butte,Public Health Department
04-AA-0017,North Valley Disposal Transfer Station,Medium Volume Transfer/Processing Facility    ,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,100,Tons per day,,,621,Tons,3,,,,,,Eric Kiruja,Active,Permitted,No,No,No,No,,,,,39.71274,-121.80926,95928,Butte,Butte,Central Valley,Chico,2569 Scott Ave,Chico,CA,95928,County of Butte,Public Health Department,County of Butte,Public Health Department
04-CR-0005,Concow Burn Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1970,Estimated,Quarterly,,,,,,,,,,,,,Abel Martinez-Centeno,Closed,Unpermitted,No,Yes,No,No,,,C1,,39.79833,-121.48667,95965,Butte,Butte,Central Valley,Butte County (Unincorporated),"W Side Concow Rd, 3 Mi Ne Of Lake Concow",Stirling City,CA,95965,County of Butte,Public Health Department,County of Butte,Public Health Department
05-CR-0007,Angels Camp/Burn Site                   ,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1975,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C1,1.10014E+11,38.08,-120.53667,95222,Calaveras,Calaveras,Central Valley,Calaveras County (Unincorporated),1480 Rolleri Bypass Rd,Angels Camp (Angels),CA,95222,County of Calaveras,"Environmental Management Agency,  Environmental Health Department",County of Calaveras,"Environmental Management Agency,  Environmental Health Department"
06-AA-0001,Evans Road Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,III,1/1/1998,Estimated,Quarterly,30,Tons per day,,,,,40,14,,,,,Janelle Heinzler,Closed,Permitted,No,Yes,No,Yes,,,C3,,39.07096,-122.17156,95912,Colusa,Colusa,Central Valley,Colusa County (Unincorporated),Evans Rd @ Hahn Rd 2.5 Mi S/O Meyers Rd,Arbuckle,CA,95912,County of Colusa,"Community Development Department,  Environmental Health Division",County of Colusa,"Community Development Department,  Environmental Health Division"
06-CR-0009,Princeton Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1967,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C1,,39.39667,-122.04722,95970,Colusa,Colusa,Central Valley,Colusa County (Unincorporated),Se Corner Boggs Rd X Spencer Rd,Princeton,CA,95970,County of Colusa,"Community Development Department,  Environmental Health Division",County of Colusa,"Community Development Department,  Environmental Health Division"
