SWIS Number,Site Name,Site Operational Status,Site Type,Site Regulatory Status,Latitude,Longitude,Is Archived,Operator,Started On,Contact Name,Contact First Name,Contact Last Name,Contact Title,Contact Email,Contact Phone,Street Address,OperatorCity,OperatorState,OperatorZip,County
28-AA-0020,Priest Ranch Refuse Dump                ,Closed,Disposal Only,Unpermitted,38.5,-122.46667,Yes,Rose C                                  ,8/16/1994,Carl Rose,Carl,Rose,,,(707) 963-4271,3460 Highway 128,Saint Helena,CA,94574,Napa
07-AA-0028,Marsh Canyon Sanitary Landfill          ,Planned,Disposal Only,Proposed,37.93333,-121.7,Yes,Waste Management Of North America       ,8/16/1994,John Rowden,John,Rowden,Project Manager,,(415) 256-0155,1801 Oakland Blvd Ste 250,Walnut Creek,CA,94596,Contra Costa
47-AA-0046,Roseburg Woodwaste Landfill,Closed,Disposal Only,Not Currently Regulated,41.44778,-122.45251,Yes,Roseburg Forest Products                ,8/16/1994,Max Kimmel,Max,Kimmel,Environmental Manager,,(541) 679-2706,PO Box 1088,Roseburg,OR,97470,Siskiyou
19-AA-0827,Stone Canyon Reservoir Landfill         ,To be Determined,Disposal Only,Exempt,34.05,-118.25,Yes,City Of Los Angeles Dept Water & Power,4/9/1996,Gene Coufal Or Clarence Martin,Gene Coufal Or,Clarence Martin,Asst Northern District Engineer,,(760) 872-1104,300 Mandich St,Bishop,CA,93514-3449,Los Angeles
19-AR-0826,Rosehills Dwp Landfill,Closed,Disposal Only,Pre-regulation,34.09444,-118.19444,No,City Of Los Angeles Dept Water & Power,8/28/2000,Gene Coufal Or Clarence Martin,Gene Coufal Or,Clarence Martin,Asst Northern District Engineer,,(760) 872-1104,300 Mandich St,Bishop,CA,93514-3449,Los Angeles
19-AR-1014,La Dwp Valley Generating Station DS,To be Determined,Non-Disposal Only,Exempt,34.21667,-118.36667,Yes,City Of Los Angeles Dept Water & Power,4/9/1996,Gene Coufal Or Clarence Martin,Gene Coufal Or,Clarence Martin,Asst Northern District Engineer,,(760) 872-1104,300 Mandich St,Bishop,CA,93514-3449,Los Angeles
19-CR-0826,Rosehills-Dwp Landfill                  ,Closed,Disposal Only,Pre-regulation,34.05,-118.25,Yes,City Of Los Angeles Dept Water & Power,6/11/1997,Gene Coufal Or Clarence Martin,Gene Coufal Or,Clarence Martin,Asst Northern District Engineer,,(760) 872-1104,300 Mandich St,Bishop,CA,93514-3449,Los Angeles
23-AA-0024,York Ranch Fill Site #4,Closed,Disposal Only,Permitted,39.15,-123.2,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Mendocino
23-AA-0026,Covelo Woodwaste Site #3,Closed,Disposal Only,Unpermitted,39.76122,-123.14316,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Mendocino
32-AA-0020,Crescent Mills Lumbermill (1&2),Closed,Disposal Only,Pre-regulation,40.09688,-120.90943,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Plumas
23-AA-0012,Covelo Fill Site `B`,Closed,Disposal Only,Permitted,39.8346,-123.1805,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Mendocino
23-AA-0010,Lp Big River Fill Site,Closed,Disposal Only,Permitted,39.15,-123.2,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Mendocino
23-AA-0013,York Ranch Fill Site #3,Closed,Disposal Only,Permitted,39.14918,-123.22573,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Mendocino
23-AA-0014,Lp Willits Wwds #4,Closed,Disposal Only,Permitted,39.4,-123.35,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Mendocino
12-AA-0026,Alderpoint Wood Waste Landfill,Closed,Disposal Only,Permitted,40.15445,-123.60306,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Humboldt
49-AA-0011,Cloverdale Wood Waste Landfill #2,Inactive,Disposal Only,Permitted,38.78472,-123.00083,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Sonoma
32-AA-0025,Louisiana Pacific-Greenville Ww Site    ,Closed,Disposal Only,Unpermitted,40.13333,-120.95,Yes,Louisiana Pacific Corp - Samoa,4/19/1996,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Plumas
53-AA-0014,Wildwood Disposal Site,Closed,Disposal Only,Unpermitted,40.41167,-123.06167,No,Louisiana Pacific Corp - Samoa,8/16/1994,Liz Smith    Et Al,Liz,Smith    Et Al,Environmental Manager,,(707) 443-7511,P.O. Box 158,Samoa,CA,95564,Trinity
10-AA-0165,Foothills Disposal Transfer & Recyclery ,Closed,Non-Disposal Only,Surrendered,36.7,-119.05,Yes,Spears R & G                            ,8/16/1994,Roger & Geraldi Spears,Roger & Geraldi,Spears,Owner,,(209) 336-2823,PO Box 52,Miramonte,CA,93641,Fresno
23-AA-0025,Tunzi Soil Amendment Program,Active,Disposal Only,Exempt,39.16069,-123.22367,No,Tunzi Inc                               ,8/16/1994,Larry Tunzi,Larry,Tunzi,Vice President,,(707) 937-0728,P.O. Box 195,Comptche,CA,95427,Mendocino
10-AA-0008,Mendota Solid Waste Disposal,Clean Closed,Both Disposal and Non-Disposal,Permitted,36.77669,-120.36713,No,County of Fresno Planning & Res. Mgmt.,8/16/1994,Thompson John R.,Thompson,John R.,Resources Division Manager,,(559) 262-4259,"2220 Tulare Street, Sixth Floor",Fresno,CA,93721,Fresno
10-AA-0010,Shaver Lake Transfer Station,Active,Non-Disposal Only,Notification,37.10005,-119.30615,No,County of Fresno Planning & Res. Mgmt.,8/16/1994,Thompson John R.,Thompson,John R.,Resources Division Manager,,(559) 262-4259,"2220 Tulare Street, Sixth Floor",Fresno,CA,93721,Fresno
10-AA-0011,Southeast Regional Solid Waste Disposal,Closed,Disposal Only,Permitted,36.5943,-119.5617,No,County of Fresno Planning & Res. Mgmt.,8/16/1994,Thompson John R.,Thompson,John R.,Resources Division Manager,,(559) 262-4259,"2220 Tulare Street, Sixth Floor",Fresno,CA,93721,Fresno
10-AA-0009,American Avenue Disposal Site,Active,Disposal Only,Permitted,36.66794,-120.13232,No,County of Fresno Planning & Res. Mgmt.,8/16/1994,Thompson John R.,Thompson,John R.,Resources Division Manager,,(559) 262-4259,"2220 Tulare Street, Sixth Floor",Fresno,CA,93721,Fresno
10-CR-0015,Big Blue Hills LF/Fresno County,Closed,Disposal Only,TBD (Pending Investigation) ,36.13333,-120.36667,Yes,County of Fresno Planning & Res. Mgmt.,8/16/1994,Thompson John R.,Thompson,John R.,Resources Division Manager,,(559) 262-4259,"2220 Tulare Street, Sixth Floor",Fresno,CA,93721,Fresno
10-AA-0006,Coalinga Disposal Site,Closed,Disposal Only,Permitted,36.10972,-120.35918,No,County of Fresno Planning & Res. Mgmt.,8/16/1994,Thompson John R.,Thompson,John R.,Resources Division Manager,,(559) 262-4259,"2220 Tulare Street, Sixth Floor",Fresno,CA,93721,Fresno
31-AA-0550,City Of Colfax Landfill,Closed,Disposal Only,Permitted,39.0924,-120.9408,No,City Of Colfax                          ,8/16/1994,David Woodford,David,Woodford,Public Works Director,,(916) 346-8640,P.O. Box 702,Colfax,CA,95713,Placer
36-AA-0019,Agua Mansa Landfill,Active,Disposal Only,Notification,34.05178,-117.35956,No,"Yeager, E L Construction Co",8/16/1994,J. S. Yeager,J. S.,Yeager,President,,(951) 328-9349,PO Box 127,Riverside,CA,92502,San Bernardino
39-AA-0041,Arcady Oil-Whisky Slough                ,Closed,Disposal Only,Permitted,37.93333,-121.41667,Yes,Arcady Oil Co. (Holt)                   ,2/4/1998, ,,,,,,12886 E Mariposa Rd,Stockton,CA,95215,San Joaquin
28-AA-0028,Hidden Glen Dump,Closed,Disposal Only,Unpermitted,38.2977,-122.2679,No,C & M Development Co.                   ,8/16/1994, ,,,,,(707) 252-8666,1732 Jefferson St.,Napa,CA,94559,Napa
28-CR-0003,Hidden Glen Dump                        ,To be Determined,Disposal Only,TBD (Pending Investigation) ,38.3,-122.28333,Yes,C & M Development Co.                   ,8/16/1994, ,,,,,(707) 252-8666,1732 Jefferson St.,Napa,CA,94559,Napa
30-CR-0002,Capo Park District Del Obispo           ,Closed,Disposal Only,Pre-regulation,33.46667,-117.7,Yes,City Of Dana Point                      ,8/16/1994,Mort August,Mort,August,Director Of Public Works,,(714) 248-3582,33282 Golden Lantern St,Dana Point,CA,92629,Orange
42-CR-0045,Old Guadalupe City Dump                 ,Closed,Disposal Only,Pre-regulation,34.96667,-120.56667,Yes,City Of Guadalupe                       ,8/16/1994, ,,,,,(343) 134-1340,918 Obispo St,Guadalupe,CA,93434,Santa Barbara
49-AA-0375,Subregional Sludge Project              ,Planned,Disposal Only,Exempt,38.43333,-122.71667,Yes,City Of Santa Rosa Util Dept-Llano Dr,4/25/1996,Mike Reynolds,Mike,Reynolds,Biosolids Co-Ordinator,,(707) 543-3374,4301 Llano Road,Santa Rosa,CA,95407,Sonoma
49-CR-0007,Santa Rosa Biosolids Mgmt. - South,To be Determined,Disposal Only,Exempt,38.13278,-122.47306,Yes,City Of Santa Rosa Util Dept-Llano Dr,8/16/1994,Mike Reynolds,Mike,Reynolds,Biosolids Co-Ordinator,,(707) 543-3374,4301 Llano Road,Santa Rosa,CA,95407,Sonoma
