County,Year,Population
Alameda,2000,1443939.0
Alpine,2000,1208.0
Amador,2000,35100.0
Butte,2000,203171.0
Calaveras,2000,40554.0
Colusa,2000,18804.0
Contra Costa,2000,948816.0
Del Norte,2000,27507.0
El Dorado,2000,156299.0
Fresno,2000,799407.0
Glenn,2000,26453.0
Humboldt,2000,126518.0
Imperial,2000,142361.0
Inyo,2000,18071.0
Kern,2000,661653.0
Kings,2000,129461.0
Lake,2000,58325.0
Lassen,2000,33828.0
Los Angeles,2000,9519330.0
Madera,2000,123109.0
Marin,2000,247289.0
Mariposa,2000,17130.0
Mendocino,2000,86265.0
Merced,2000,210554.0
Modoc,2000,9449.0
Mono,2000,12853.0
Monterey,2000,401762.0
Napa,2000,124279.0
Nevada,2000,92033.0
Orange,2000,2846289.0
Placer,2000,248399.0
Plumas,2000,20824.0
Riverside,2000,1545387.0
Sacramento,2000,1223499.0
San Benito,2000,53234.0
San Bernardino,2000,1710139.0
San Diego,2000,2813833.0
San Francisco,2000,776733.0
San Joaquin,2000,563598.0
San Luis Obispo,2000,246681.0
San Mateo,2000,707163.0
Santa Barbara,2000,399347.0
Santa Clara,2000,1682585.0
Santa Cruz,2000,255602.0
Shasta,2000,163256.0
Sierra,2000,3555.0
Siskiyou,2000,44301.0
Solano,2000,394930.0
Sonoma,2000,458614.0
Stanislaus,2000,446997.0
Sutter,2000,78930.0
Tehama,2000,56039.0
Trinity,2000,13022.0
Tulare,2000,368021.0
Tuolumne,2000,54504.0
Ventura,2000,753197.0
Yolo,2000,168660.0
Yuba,2000,60219.0
Alameda,2001,1457185.0
Alpine,2001,1220.0
Amador,2001,35495.0
Butte,2001,204591.0
Calaveras,2001,41042.0
Colusa,2001,18974.0
Contra Costa,2001,962076.0
Del Norte,2001,27434.0
El Dorado,2001,160079.0
Fresno,2001,808611.0
Glenn,2001,26584.0
Humboldt,2001,127011.0
Imperial,2001,143941.0
Inyo,2001,18162.0
Kern,2001,672004.0
Kings,2001,131100.0
Lake,2001,59260.0
Lassen,2001,33763.0
Los Angeles,2001,9590080.0
Madera,2001,125359.0
Marin,2001,247590.0
Mariposa,2001,17163.0
Mendocino,2001,86825.0
Merced,2001,214203.0
Modoc,2001,9473.0
Mono,2001,13034.0
Monterey,2001,404569.0
Napa,2001,125396.0
Nevada,2001,92693.0
Orange,2001,2871926.0
Placer,2001,258293.0
Plumas,2001,20681.0
Riverside,2001,1589708.0
Sacramento,2001,1248072.0
San Benito,2001,54165.0
San Bernardino,2001,1741416.0
San Diego,2001,2849238.0
San Francisco,2001,780614.0
San Joaquin,2001,578121.0
San Luis Obispo,2001,249687.0
San Mateo,2001,707965.0
Santa Barbara,2001,401667.0
Santa Clara,2001,1690366.0
Santa Cruz,2001,256031.0
Shasta,2001,165590.0
Sierra,2001,3603.0
Siskiyou,2001,44331.0
Solano,2001,399476.0
Sonoma,2001,462958.0
Stanislaus,2001,456423.0
Sutter,2001,79722.0
Tehama,2001,56149.0
Trinity,2001,12961.0
Tulare,2001,371479.0
Tuolumne,2001,54957.0
Ventura,2001,762944.0
Yolo,2001,172450.0
Yuba,2001,60879.0
Alameda,2002,1467063.0
Alpine,2002,1242.0
Amador,2002,36159.0
Butte,2002,206942.0
Calaveras,2002,41773.0
Colusa,2002,19229.0
Contra Costa,2002,974657.0
Del Norte,2002,27517.0
El Dorado,2002,163300.0
Fresno,2002,821809.0
Glenn,2002,26702.0
Humboldt,2002,128052.0
Imperial,2002,145954.0
Inyo,2002,18311.0
Kern,2002,688063.0
Kings,2002,133551.0
Lake,2002,60525.0
Lassen,2002,33628.0
Los Angeles,2002,9679212.0
Madera,2002,127469.0
Marin,2002,247567.0
Mariposa,2002,17365.0
Mendocino,2002,87326.0
Merced,2002,220018.0
Modoc,2002,9417.0
Mono,2002,13298.0
Monterey,2002,407440.0
Napa,2002,127064.0
Nevada,2002,94048.0
Orange,2002,2902207.0
Placer,2002,270845.0
Plumas,2002,20702.0
Riverside,2002,1655291.0
Sacramento,2002,1279588.0
San Benito,2002,54948.0
San Bernardino,2002,1782268.0
San Diego,2002,2890256.0
San Francisco,2002,782765.0
San Joaquin,2002,596039.0
San Luis Obispo,2002,252604.0
San Mateo,2002,706213.0
Santa Barbara,2002,404794.0
Santa Clara,2002,1693230.0
Santa Cruz,2002,255890.0
Shasta,2002,168304.0
Sierra,2002,3576.0
Siskiyou,2002,44331.0
Solano,2002,404895.0
Sonoma,2002,465726.0
Stanislaus,2002,468340.0
Sutter,2002,81086.0
Tehama,2002,56873.0
Trinity,2002,13061.0
Tulare,2002,377666.0
Tuolumne,2002,55619.0
Ventura,2002,774438.0
Yolo,2002,177180.0
Yuba,2002,62080.0
Alameda,2003,1467892.0
Alpine,2003,1248.0
Amador,2003,36656.0
Butte,2003,209389.0
Calaveras,2003,42651.0
Colusa,2003,19538.0
Contra Costa,2003,984256.0
Del Norte,2003,27744.0
El Dorado,2003,166195.0
Fresno,2003,837256.0
Glenn,2003,26974.0
Humboldt,2003,129468.0
Imperial,2003,149041.0
Inyo,2003,18461.0
Kern,2003,707111.0
Kings,2003,136710.0
Lake,2003,61492.0
Lassen,2003,33828.0
Los Angeles,2003,9756914.0
Madera,2003,130641.0
Marin,2003,247342.0
Mariposa,2003,17612.0
Mendocino,2003,87764.0
Merced,2003,225946.0
Modoc,2003,9456.0
Mono,2003,13478.0
Monterey,2003,410276.0
Napa,2003,128683.0
Nevada,2003,95277.0
Orange,2003,2927118.0
Placer,2003,283703.0
Plumas,2003,20722.0
Riverside,2003,1730219.0
Sacramento,2003,1307189.0
San Benito,2003,55330.0
San Bernardino,2003,1825379.0
San Diego,2003,2927216.0
San Francisco,2003,782599.0
San Joaquin,2003,612295.0
San Luis Obispo,2003,254583.0
San Mateo,2003,704014.0
Santa Barbara,2003,407828.0
Santa Clara,2003,1693752.0
Santa Cruz,2003,255368.0
Shasta,2003,170782.0
Sierra,2003,3555.0
Siskiyou,2003,44491.0
Solano,2003,407882.0
Sonoma,2003,467139.0
Stanislaus,2003,478283.0
Sutter,2003,83018.0
Tehama,2003,57847.0
Trinity,2003,13273.0
Tulare,2003,385769.0
Tuolumne,2003,56177.0
Ventura,2003,784632.0
Yolo,2003,180798.0
Yuba,2003,63349.0
Alameda,2004,1466407.0
Alpine,2004,1257.0
Amador,2004,36961.0
Butte,2004,211419.0
Calaveras,2004,43554.0
Colusa,2004,19933.0
Contra Costa,2004,993958.0
Del Norte,2004,28029.0
El Dorado,2004,168984.0
Fresno,2004,853057.0
Glenn,2004,27210.0
Humboldt,2004,130712.0
Imperial,2004,152420.0
Inyo,2004,18533.0
Kern,2004,728872.0
Kings,2004,140688.0
Lake,2004,62307.0
Lassen,2004,34313.0
Los Angeles,2004,9806944.0
Madera,2004,134645.0
Marin,2004,246990.0
Mariposa,2004,17818.0
Mendocino,2004,88130.0
Merced,2004,232356.0
Modoc,2004,9556.0
Mono,2004,13650.0
Monterey,2004,411544.0
Napa,2004,129814.0
Nevada,2004,96540.0
Orange,2004,2948135.0
Placer,2004,296712.0
Plumas,2004,20824.0
Riverside,2004,1814485.0
Sacramento,2004,1331910.0
San Benito,2004,55374.0
San Bernardino,2004,1875063.0
San Diego,2004,2953703.0
San Francisco,2004,781308.0
San Joaquin,2004,629787.0
San Luis Obispo,2004,257045.0
San Mateo,2004,702254.0
Santa Barbara,2004,410357.0
Santa Clara,2004,1695602.0
Santa Cruz,2004,254986.0
Shasta,2004,172729.0
Sierra,2004,3506.0
Siskiyou,2004,44691.0
Solano,2004,410164.0
Sonoma,2004,469103.0
Stanislaus,2004,486639.0
Sutter,2004,85097.0
Tehama,2004,58953.0
Trinity,2004,13453.0
Tulare,2004,395127.0
Tuolumne,2004,56407.0
Ventura,2004,792213.0
Yolo,2004,184015.0
Yuba,2004,64604.0
Alameda,2005,1462736.0
Alpine,2005,1237.0
Amador,2005,37434.0
Butte,2005,212955.0
Calaveras,2005,44348.0
Colusa,2005,20374.0
Contra Costa,2005,1001216.0
Del Norte,2005,28251.0
El Dorado,2005,171739.0
Fresno,2005,866058.0
Glenn,2005,27394.0
Humboldt,2005,131467.0
Imperial,2005,155793.0
Inyo,2005,18511.0
Kern,2005,750969.0
Kings,2005,143607.0
Lake,2005,62870.0
Lassen,2005,34552.0
Los Angeles,2005,9816153.0
Madera,2005,138174.0
Marin,2005,246688.0
Mariposa,2005,17965.0
Mendocino,2005,88129.0
Merced,2005,238069.0
Modoc,2005,9595.0
Mono,2005,13763.0
Monterey,2005,409557.0
Napa,2005,130472.0
Nevada,2005,97454.0
Orange,2005,2956847.0
Placer,2005,307710.0
Plumas,2005,20880.0
Riverside,2005,1895695.0
Sacramento,2005,1350523.0
San Benito,2005,55221.0
San Bernardino,2005,1921423.0
San Diego,2005,2966783.0
San Francisco,2005,780187.0
San Joaquin,2005,645059.0
San Luis Obispo,2005,259213.0
San Mateo,2005,700350.0
Santa Barbara,2005,411440.0
Santa Clara,2005,1698234.0
Santa Cruz,2005,254783.0
Shasta,2005,173862.0
Sierra,2005,3449.0
Siskiyou,2005,44865.0
Solano,2005,410985.0
Sonoma,2005,469734.0
Stanislaus,2005,494144.0
Sutter,2005,87097.0
Tehama,2005,59976.0
Trinity,2005,13654.0
Tulare,2005,404148.0
Tuolumne,2005,56411.0
Ventura,2005,795962.0
Yolo,2005,186530.0
Yuba,2005,66478.0
Alameda,2006,1462371.0
Alpine,2006,1232.0
Amador,2006,37843.0
Butte,2006,214690.0
Calaveras,2006,45044.0
Colusa,2006,20729.0
Contra Costa,2006,1007169.0
Del Norte,2006,28296.0
El Dorado,2006,174218.0
Fresno,2006,879128.0
