Material Category,Material Type,Jurisdiction(s),Single Family Tons,Regional Single Family Composition,Multi Family Tons,Statewide Multi Family Composition,Total Residential Tons,Total Residential Composition,
Paper,Uncoated Corrugated Cardboard,Alameda (Countywide),1917,0.7%,4231,3.6%,6147,1.5%,
Paper,Paper Bags,Alameda (Countywide),898,0.3%,625,0.5%,1523,0.4%,
Paper,Newspaper,Alameda (Countywide),2078,0.7%,5506,4.6%,7583,1.9%,
Paper,White Ledger Paper,Alameda (Countywide),531,0.2%,627,0.5%,1158,0.3%,
Paper,Other Office Paper,Alameda (Countywide),1368,0.5%,698,0.6%,2067,0.5%,
Paper,Magazines and Catalogs,Alameda (Countywide),1806,0.6%,887,0.7%,2693,0.7%,
Paper,Phone Books and Directories,Alameda (Countywide),94,0.0%,36,0.0%,130,0.0%,
Paper,Other Miscellaneous Paper - Compostable,Alameda (Countywide),401,0.1%,351,0.3%,752,0.2%,
Paper,Other Miscellaneous Paper - Other,Alameda (Countywide),8283,2.9%,5596,4.7%,13879,3.4%,
Paper,Remainder / Composite Paper - Compostable,Alameda (Countywide),31121,10.9%,8027,6.8%,39148,9.7%,
Paper,Remainder / Composite Paper - Other,Alameda (Countywide),2540,0.9%,1295,1.1%,3834,0.9%,
Glass,Clear Glass Bottles and Containers,Alameda (Countywide),2835,1.0%,1947,1.6%,4782,1.2%,
Glass,Green Glass Bottles and Containers,Alameda (Countywide),790,0.3%,176,0.1%,967,0.2%,
Glass,Brown Glass Bottles and Containers,Alameda (Countywide),1127,0.4%,809,0.7%,1935,0.5%,
Glass,Other Glass Colored Bottles and Containers,Alameda (Countywide),0,0.0%,73,0.1%,73,0.0%,
Glass,Flat Glass,Alameda (Countywide),61,0.0%,69,0.1%,130,0.0%,
Glass,Remainder / Composite Glass,Alameda (Countywide),543,0.2%,472,0.4%,1016,0.3%,
Metal,Tin/Steel Cans,Alameda (Countywide),2089,0.7%,1102,0.9%,3191,0.8%,
Metal,Major Appliances,Alameda (Countywide),0,0.0%,1,0.0%,1,0.0%,
Metal,Used Oil Filters,Alameda (Countywide),0,0.0%,0,0.0%,0,0.0%,
