SWIS Number,Site Name,Activity,Waste Type,Site Is Archived,Site Operational Status,Site Regulatory Status,Site Type,Latitude,Longitude,Point of Contact,Activity Is Archived,Activity Operational Status,Activity Regulatory Status,Activity Category,Activity Classification
27-AA-0114,"Return to Earth, LLC",Agricultural Material Composting Operation,Agricultural,Yes,Closed,Surrendered,Non-Disposal Only,36.63163,-121.5477,Eric Kiruja,Yes,Closed,Surrendered,Composting,Solid Waste Operation
27-AA-0114,"Return to Earth, LLC",Agricultural Material Composting Operation,Green Materials,Yes,Closed,Surrendered,Non-Disposal Only,36.63163,-121.5477,Eric Kiruja,Yes,Closed,Surrendered,Composting,Solid Waste Operation
15-AA-0392,Demler Enterprises-Delano,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,35.7588,-119.33784,Christine Karl,No,Active,Notification,Composting,Solid Waste Operation
28-AA-0041,Opus One,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,38.43235,-122.4121,Kate Whitney,No,Active,Notification,Composting,Solid Waste Operation
28-AA-0041,Opus One,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,38.43235,-122.4121,Kate Whitney,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0030,John Brichetto Compost Site B,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.81874,-120.87529,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0030,John Brichetto Compost Site B,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.81874,-120.87529,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0030,John Brichetto Compost Site B,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.81874,-120.87529,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0030,John Brichetto Compost Site B,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.81874,-120.87529,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0030,John Brichetto Compost Site B,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.81874,-120.87529,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0034,John Brichetto Compost Site F,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.7211,-120.83488,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0034,John Brichetto Compost Site F,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.7211,-120.83488,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0034,John Brichetto Compost Site F,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.7211,-120.83488,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0034,John Brichetto Compost Site F,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.7211,-120.83488,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0034,John Brichetto Compost Site F,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.7211,-120.83488,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0042,John Brichetto Compost Site N,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.72306,-120.87626,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0042,John Brichetto Compost Site N,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.72306,-120.87626,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0042,John Brichetto Compost Site N,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.72306,-120.87626,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0042,John Brichetto Compost Site N,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.72306,-120.87626,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0042,John Brichetto Compost Site N,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.72306,-120.87626,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
