Material Category,Material Type,County,Single Family Tons,Regional Single Family Composition,Multi Family Tons,Statewide Multi Family Composition,Total Residential Tons,Total Residential Composition
Paper,Uncoated Corrugated Cardboard,CONTRA COSTA,1536,0.00668822325232775,1931,0.0356791218393351,3467,0.012218146896626637
Paper,Paper Bags,CONTRA COSTA,719,0.00313245899159654,286,0.00527466562364938,1005,0.003541078237047317
Paper,Newspaper,CONTRA COSTA,1665,0.00724980824271308,2513,0.0464310841690457,4178,0.014723514637447904
Paper,White Ledger Paper,CONTRA COSTA,426,0.00185407707880985,286,0.0052869012166633,712,0.002508877595243078
Paper,Other Office Paper,CONTRA COSTA,1097,0.00477488343583905,319,0.0058879491862709995,1415,0.004987197262280136
Paper,Magazines and Catalogs,CONTRA COSTA,1447,0.006301604439851421,405,0.007478042212656609,1852,0.00652600628225576
Paper,Phone Books and Directories,CONTRA COSTA,75,0.000327356074797477,17,0.000306365386920027,92,0.0003233521664379195
Paper,Other Miscellaneous Paper - Compostable,CONTRA COSTA,321,0.00139972942327197,160,0.00295972626349685,482,0.001697293963601785
Paper,Other Miscellaneous Paper - Other,CONTRA COSTA,6637,0.0289032837765151,2554,0.0471909615637325,9192,0.032391601376997335
Paper,Remainder / Composite Paper - Compostable,CONTRA COSTA,24939,0.108597555778935,3664,0.0676951863054057,28603,0.10079555614857907
Paper,Remainder / Composite Paper - Other,CONTRA COSTA,2035,0.008862319114603409,591,0.0109194056132361,2626,0.009254701959619988
Glass,Clear Glass Bottles and Containers,CONTRA COSTA,2271,0.009891233122113409,889,0.0164193762236836,3160,0.011136456093812487
Glass,Green Glass Bottles and Containers,CONTRA COSTA,633,0.00275712831963047,81,0.00148785037811019,714,0.0025150175040952235
Glass,Brown Glass Bottles and Containers,CONTRA COSTA,903,0.00393109493269729,369,0.00682128720880721,1272,0.004482390110949995
Glass,Other Glass Colored Bottles and Containers,CONTRA COSTA,0,0.0,34,0.000619255891282891,34,0.00011812113325150074
Glass,Flat Glass,CONTRA COSTA,49,0.000214474669694898,31,0.000579854656700671,81,0.00028416976463074004
Glass,Remainder / Composite Glass,CONTRA COSTA,435,0.0018964076057233102,215,0.00398097723909204,651,0.0022940327731239317
Metal,Tin/Steel Cans,CONTRA COSTA,1674,0.0072893167344989795,503,0.00929533537355549,2177,0.007671958544297677
Metal,Major Appliances,CONTRA COSTA,0,0.0,1,1.0932797618282001e-05,1,2.085397107172353e-06
Metal,Used Oil Filters,CONTRA COSTA,0,0.0,0,0.0,0,0.0
Metal,Other Ferrous,CONTRA COSTA,1085,0.0047240868035429,410,0.007565485675041571,1494,0.0052660747917809255
Metal,Aluminum Cans,CONTRA COSTA,377,0.00163960240911495,123,0.00227739446282066,500,0.001761259257637535
Metal,Other Non-Ferrous,CONTRA COSTA,778,0.0033892641882049103,416,0.00768714263469483,1194,0.004209071120723335
Metal,Remainder / Composite Metal,CONTRA COSTA,1292,0.00562713804436352,461,0.008523796569680971,1754,0.006179666639520339
Electronics,Brown Goods,CONTRA COSTA,0,0.0,245,0.00453436039488614,245,0.000864915127904688
Electronics,Computer-related Electronics,CONTRA COSTA,131,0.0005700510957680201,109,0.00201706805339667,240,0.0008460650752477132
Electronics,Other Small Consumer Electronics,CONTRA COSTA,384,0.00167064479551816,142,0.00261664724282099,525,0.001851091817027491
Electronics,Video Display Devices,CONTRA COSTA,1651,0.007190545505034229,354,0.00653254413252071,2005,0.007065033791869386
Plastic,PETE Plastic Containers,CONTRA COSTA,1325,0.00576823980074174,501,0.00925575177699064,1826,0.00643347185208207
Plastic,HDPE Plastic Containers,CONTRA COSTA,965,0.004202010304943471,252,0.00466298875785393,1217,0.004289940509611371
Plastic,Miscellaneous Plastic Containers,CONTRA COSTA,1748,0.0076138507741689,346,0.00638361235962469,2094,0.007379186626857453
Plastic,Plastic Trash Bags,CONTRA COSTA,3488,0.0151910150916795,610,0.0112707745793956,4099,0.014443241419361097
Plastic,Plastic Grocery and Other Merchandise Bags,CONTRA COSTA,1404,0.00611535012143217,475,0.0087813977992591,1880,0.006623890415421217
Plastic,Non-Bag Commercial and Industrial Packaging Film,CONTRA COSTA,583,0.00253757398670596,91,0.00168720787646775,674,0.002375369298734536
Plastic,Film Products,CONTRA COSTA,137,0.0005954494119161,1,1.60033976566839e-05,138,0.000484921888761508
Plastic,Other Film - Other,CONTRA COSTA,5727,0.0249388888293126,1163,0.0214910767881785,6890,0.02428122941699241
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,CONTRA COSTA,898,0.00390851865167677,91,0.0016786981816595801,988,0.003483187339413968
Plastic,Durable Plastic Items - Other,CONTRA COSTA,1739,0.007574342282382991,610,0.0112605235062998,2349,0.008277469874172909
Plastic,Remainder / Composite Plastic,CONTRA COSTA,4288,0.018673406439093997,1822,0.0336593115318444,6110,0.0215319211779493
Other Organic,Food,CONTRA COSTA,63810,0.27786604476537896,13408,0.247713326035693,77218,0.2721145075461116
Other Organic,Leaves and Grass,CONTRA COSTA,3440,0.0149793624571121,1617,0.0298758256509316,5057,0.01782081643221754
Other Organic,Prunings and Trimmings,CONTRA COSTA,2347,0.0102208468250129,421,0.00776987682463602,2768,0.009753331928367873
Other Organic,Branches and Stumps,CONTRA COSTA,511,0.00222376368052079,0,0.0,511,0.0017995876819970266
Other Organic,Manures,CONTRA COSTA,428,0.00186310759121805,0,0.0,428,0.0015077256188508062
Other Organic,Textiles,CONTRA COSTA,11112,0.0483866142972201,4032,0.0744969455238916,15144,0.053367078685983685
Other Organic,Carpet,CONTRA COSTA,6284,0.0273624525968649,339,0.006261910364042079,6623,0.023337589861043825
Other Organic,Remainder / Composite Organic,CONTRA COSTA,21481,0.0935391763382514,4047,0.0747577651799157,25527,0.08995668063443336
Inerts and Other,Concrete,CONTRA COSTA,1550,0.00674748599000661,206,0.00380054474914847,1755,0.006185366123412193
Inerts and Other,Asphalt Paving,CONTRA COSTA,0,0.0,0,0.0,0,0.0
Inerts and Other,Asphalt Roofing,CONTRA COSTA,224,0.000976424154137301,0,0.0,224,0.0007901742867651918
Inerts and Other,Clean Dimensional Lumber,CONTRA COSTA,240,0.00104415299719885,282,0.00520836277968044,522,0.0018384630482258949
Inerts and Other,Clean Engineered Wood,CONTRA COSTA,9,3.95084917859024e-05,71,0.00131834677248041,80,0.0002834429122531745
Inerts and Other,Clean Pallets & Crates,CONTRA COSTA,297,0.00129249208842452,1078,0.0199110136755632,1375,0.004843917113682271
Inerts and Other,Other Wood Waste,CONTRA COSTA,8248,0.0359160410685128,1142,0.0211054469970467,9390,0.03309096636114868
Inerts and Other,Gypsum Board,CONTRA COSTA,483,0.0021052382051630803,224,0.00414580933333641,708,0.0024944707946840047
Inerts and Other,"Rock, Soil and Fines",CONTRA COSTA,2202,0.00958927536346402,159,0.00294628003745275,2362,0.008322144687537336
Inerts and Other,Remainder / Composite Inerts and Other,CONTRA COSTA,1977,0.00861002917419915,136,0.0025126578056591698,2113,0.007446974569397375
Household Hazardous Waste (HHW),Paint,CONTRA COSTA,0,0.0,0,4.0077500773254e-06,0,7.64465849395053e-07
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,CONTRA COSTA,0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Used Oil,CONTRA COSTA,0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Batteries,CONTRA COSTA,297,0.00129249208842452,20,0.00036110161962440697,316,0.0011148322563211915
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,CONTRA COSTA,382,0.00166217869013546,25,0.00045538993466306504,406,0.0014319874922830555
Special Waste,Ash,CONTRA COSTA,40,0.000176094991960022,50,0.000931303337992967,91,0.0003201486326764597
Special Waste,Treated Medical Waste,CONTRA COSTA,0,0.0,400,0.0073855680185596,400,0.001408774105081176
Special Waste,Bulky Items,CONTRA COSTA,10763,0.0468683593985904,1523,0.0281400658522521,12286,0.04329599571388281
Special Waste,Tires,CONTRA COSTA,65,0.000282203512756445,0,0.0,65,0.00022837407131941928
Special Waste,Remainder / Composite Special Waste,CONTRA COSTA,743,0.00323687429131643,11,0.00020231600461172,754,0.0026580417460164373
Mixed Residue,Mixed Residue,CONTRA COSTA,17848,0.077718847413125,1866,0.0344700708823858,19713,0.0694692779419836
Paper,Uncoated Corrugated Cardboard,SIERRA,15,0.0205731672386676,3,0.0356791218393351,18,0.0220004491567872
Paper,Paper Bags,SIERRA,3,0.0037190066107415,0,0.00527466562364938,3,0.003865992619807428
Paper,Newspaper,SIERRA,5,0.00709212559665615,4,0.0464310841690457,9,0.010809056153666213
Paper,White Ledger Paper,SIERRA,2,0.0021725173129619802,0,0.0052869012166633,2,0.002466779009712956
Paper,Other Office Paper,SIERRA,3,0.0039791369732145795,0,0.0058879491862709995,3,0.004159490564152878
