Report Year,Diposal Ton,County
1995.0,1623266.99,San Bernardino
1996.0,1652495.58,San Bernardino
1997.0,1603700.6,San Bernardino
1998.0,1682447.54,San Bernardino
1999.0,1679816.31,San Bernardino
2000.0,1762385.98,San Bernardino
2001.0,1888556.78,San Bernardino
2002.0,1931424.51,San Bernardino
2003.0,2107128.88,San Bernardino
2004.0,2235251.83,San Bernardino
2005.0,2349002.83,San Bernardino
2006.0,2292245.48,San Bernardino
2007.0,2171711.06,San Bernardino
2008.0,1943398.93,San Bernardino
2009.0,1609726.05,San Bernardino
2010.0,1591512.22,San Bernardino
2011.0,1555110.15,San Bernardino
2012.0,1492333.67,San Bernardino
2013.0,1571158.05,San Bernardino
2014.0,1589490.38,San Bernardino
2015.0,1670832.88,San Bernardino
2016.0,1728326.52,San Bernardino
2017.0,1850456.16,San Bernardino
2018.0,1938900.18,San Bernardino
2019.0,1978070.48,San Bernardino
1995.0,45111.16,Tehama
1996.0,46528.55,Tehama
1997.0,49182.76,Tehama
1998.0,43697.59,Tehama
1999.0,42786.81,Tehama
2000.0,44538.78,Tehama
2001.0,44892.98,Tehama
2002.0,48853.16,Tehama
2003.0,52666.53,Tehama
2004.0,51670.35,Tehama
2005.0,55546.41,Tehama
2006.0,54648.64,Tehama
2007.0,48038.81,Tehama
2008.0,44438.3,Tehama
2009.0,41593.54,Tehama
2010.0,67376.14,Tehama
2011.0,204634.17,Tehama
2012.0,41905.92,Tehama
2013.0,45324.38,Tehama
2014.0,47692.02,Tehama
2015.0,50252.25,Tehama
2016.0,61476.21,Tehama
2017.0,61808.91,Tehama
2018.0,59132.46,Tehama
2019.0,66278.44,Tehama
1995.0,641.0,Modoc
1996.0,,Modoc
1997.0,6.91,Modoc
1998.0,,Modoc
1999.0,,Modoc
2000.0,72.0,Modoc
2001.0,,Modoc
2002.0,,Modoc
2003.0,,Modoc
2004.0,2.27,Modoc
2005.0,,Modoc
2006.0,,Modoc
2007.0,,Modoc
2008.0,,Modoc
2009.0,18.58,Modoc
2010.0,,Modoc
2011.0,15.19,Modoc
2012.0,107.91,Modoc
2013.0,17.14,Modoc
2014.0,4.23,Modoc
2015.0,2.4,Modoc
2016.0,5.26,Modoc
2017.0,18.29,Modoc
2018.0,60.61,Modoc
2019.0,11537.13,Modoc
1995.0,38022.1,San Benito
1996.0,22982.88,San Benito
1997.0,34273.5,San Benito
1998.0,56821.52,San Benito
1999.0,70609.45,San Benito
2000.0,66434.16,San Benito
2001.0,64537.44,San Benito
2002.0,60232.15,San Benito
2003.0,65500.81,San Benito
2004.0,62117.58,San Benito
2005.0,59804.25,San Benito
2006.0,59444.48,San Benito
2007.0,55684.12,San Benito
2008.0,48794.94,San Benito
2009.0,49909.49,San Benito
2010.0,52729.01,San Benito
2011.0,52459.01,San Benito
2012.0,55803.38,San Benito
2013.0,54190.84,San Benito
2014.0,50505.18,San Benito
2015.0,72448.88,San Benito
2016.0,74475.25,San Benito
2017.0,80251.56,San Benito
2018.0,86457.14,San Benito
2019.0,88184.37,San Benito
1995.0,462270.29,Santa Barbara
1996.0,448837.07,Santa Barbara
1997.0,455561.87,Santa Barbara
1998.0,464741.7,Santa Barbara
1999.0,451255.37,Santa Barbara
2000.0,446328.88,Santa Barbara
2001.0,622868.1,Santa Barbara
2002.0,505393.35,Santa Barbara
2003.0,541545.8,Santa Barbara
2004.0,559084.38,Santa Barbara
2005.0,493219.95,Santa Barbara
2006.0,442103.02,Santa Barbara
2007.0,427429.73,Santa Barbara
2008.0,422605.03,Santa Barbara
2009.0,362935.47,Santa Barbara
2010.0,339739.77,Santa Barbara
2011.0,329227.2,Santa Barbara
2012.0,335185.84,Santa Barbara
2013.0,362229.03,Santa Barbara
2014.0,353131.21,Santa Barbara
2015.0,388220.85,Santa Barbara
2016.0,415705.68,Santa Barbara
2017.0,417420.87,Santa Barbara
2018.0,455075.02,Santa Barbara
2019.0,435073.91,Santa Barbara
1995.0,166421.5,Yolo
1996.0,169870.44,Yolo
1997.0,158375.4,Yolo
1998.0,164535.18,Yolo
1999.0,173187.51,Yolo
2000.0,174755.11,Yolo
2001.0,185412.5,Yolo
2002.0,187667.02,Yolo
2003.0,201403.25,Yolo
2004.0,211737.46,Yolo
2005.0,220110.81,Yolo
2006.0,208364.11,Yolo
2007.0,198429.53,Yolo
2008.0,185050.31,Yolo
2009.0,160955.81,Yolo
2010.0,159845.53,Yolo
2011.0,148232.59,Yolo
2012.0,152387.1,Yolo
2013.0,156528.51,Yolo
2014.0,170524.89,Yolo
2015.0,169242.78,Yolo
2016.0,178641.2,Yolo
2017.0,188960.55,Yolo
2018.0,195258.12,Yolo
2019.0,192255.23,Yolo
1995.0,427905.5,Sonoma
1996.0,443190.98,Sonoma
1997.0,482991.48,Sonoma
1998.0,513145.63,Sonoma
1999.0,516442.71,Sonoma
2000.0,531409.29,Sonoma
2001.0,543029.49,Sonoma
2002.0,538144.06,Sonoma
2003.0,544756.34,Sonoma
2004.0,545535.79,Sonoma
2005.0,532281.19,Sonoma
2006.0,499060.77,Sonoma
2007.0,445428.21,Sonoma
2008.0,400310.63,Sonoma
2009.0,351715.35,Sonoma
2010.0,362763.18,Sonoma
2011.0,326937.19,Sonoma
2012.0,307763.99,Sonoma
2013.0,322066.71,Sonoma
2014.0,326267.14,Sonoma
2015.0,388362.5,Sonoma
2016.0,427352.92,Sonoma
2017.0,948776.88,Sonoma
2018.0,1245678.97,Sonoma
2019.0,472841.01,Sonoma
1995.0,20976.56,Tuolumne
1996.0,230.4,Tuolumne
1997.0,886.16,Tuolumne
1998.0,1197.01,Tuolumne
1999.0,2096.73,Tuolumne
2000.0,1404.87,Tuolumne
2001.0,2375.61,Tuolumne
2002.0,9137.96,Tuolumne
2003.0,43176.43,Tuolumne
2004.0,49845.23,Tuolumne
2005.0,49302.83,Tuolumne
2006.0,49027.1,Tuolumne
2007.0,48453.02,Tuolumne
2008.0,43291.76,Tuolumne
2009.0,40617.06,Tuolumne
2010.0,40055.71,Tuolumne
2011.0,37695.26,Tuolumne
2012.0,35480.65,Tuolumne
2013.0,37167.14,Tuolumne
2014.0,35498.64,Tuolumne
2015.0,37022.26,Tuolumne
2016.0,42223.46,Tuolumne
2017.0,45119.88,Tuolumne
2018.0,45826.26,Tuolumne
2019.0,46559.93,Tuolumne
1995.0,792571.27,San Mateo
1996.0,878734.93,San Mateo
1997.0,835220.95,San Mateo
1998.0,893690.81,San Mateo
1999.0,883753.23,San Mateo
2000.0,911601.44,San Mateo
2001.0,883177.28,San Mateo
2002.0,808867.04,San Mateo
