County,Year,Electricity Usage (GWh)
Alameda,2019,3064.7813760000004
Alpine,2019,10.131788
Amador,2019,140.689119
Butte,2019,669.3284990000001
Calaveras,2019,205.365353
Colusa,2019,67.633093
Contra Costa,2019,2934.141948
Del Norte,2019,117.160978
El Dorado,2019,767.40108
Fresno,2019,2796.305742
Glenn,2019,96.828073
Humboldt,2019,368.37208
Imperial,2019,575.201252
Inyo,2019,58.876761
Kern,2019,2341.4470420000002
Kings,2019,379.024862
Lake,2019,286.081982
Lassen,2019,102.396546
Los Angeles,2019,19562.554839
Madera,2019,438.968992
Marin,2019,669.5655519999999
Mariposa,2019,71.262658
Mendocino,2019,291.502962
Merced,2019,729.116937
Modoc,2019,58.17935500000001
Mono,2019,93.67116899999999
Monterey,2019,698.094114
Napa,2019,375.248902
Nevada,2019,451.81159
Orange,2019,6661.245595
Placer,2019,1464.6863349999999
Plumas,2019,95.271334
Riverside,2019,7336.906907
Sacramento,2019,4691.394529
San Benito,2019,132.105804
San Bernardino,2019,5054.326483
San Diego,2019,6673.931743
San Francisco,2019,1503.13779
San Joaquin,2019,1893.111234
San Luis Obispo,2019,647.297553
San Mateo,2019,1565.436817
Santa Barbara,2019,768.514569
Santa Clara,2019,4045.623093
Santa Cruz,2019,553.414177
Shasta,2019,738.040415
Sierra,2019,12.821663000000001
Siskiyou,2019,226.82850299999998
Solano,2019,1078.7450410000001
Sonoma,2019,1294.976991
Stanislaus,2019,1800.7574370000002
Sutter,2019,287.84650800000003
Tehama,2019,241.786407
Trinity,2019,9.686735
Tulare,2019,1261.6843119999999
Tuolumne,2019,214.412592
Ventura,2019,1761.2509699999998
Yolo,2019,538.7776150000001
Yuba,2019,227.90092400000003
Alameda,2018,2945.8049170000004
Alpine,2018,9.420910000000001
Amador,2018,136.895373
Butte,2018,717.74326
Calaveras,2018,201.833277
Colusa,2018,65.118218
Contra Costa,2018,2802.510934
Del Norte,2018,114.22135300000001
El Dorado,2018,745.355819
Fresno,2018,2726.357511
Glenn,2018,92.09694300000001
Humboldt,2018,371.939616
Imperial,2018,636.271713
Inyo,2018,58.159197999999996
Kern,2018,2339.481264
Kings,2018,373.80849700000005
Lake,2018,279.501151
Lassen,2018,100.843453
Los Angeles,2018,20516.120866999998
Madera,2018,427.53958099999994
Marin,2018,647.411703
Mariposa,2018,68.981471
Mendocino,2018,289.023774
Merced,2018,714.720374
Modoc,2018,57.48748199999999
Mono,2018,84.827218
Monterey,2018,679.580114
Napa,2018,360.84235
Nevada,2018,445.546337
Orange,2018,6837.743613
Placer,2018,1410.253319
Plumas,2018,92.880877
Riverside,2018,7632.83768
Sacramento,2018,4697.670625
San Benito,2018,123.898399
San Bernardino,2018,5153.352369
San Diego,2018,6873.308583
San Francisco,2018,1450.285429
San Joaquin,2018,1814.316709
San Luis Obispo,2018,641.091234
San Mateo,2018,1508.725747
Santa Barbara,2018,756.566541
Santa Clara,2018,3851.2992240000003
Santa Cruz,2018,544.0358349999999
Shasta,2018,740.892608
Sierra,2018,13.220858999999999
Siskiyou,2018,221.879329
Solano,2018,1029.3710720000001
Sonoma,2018,1253.889
Stanislaus,2018,1800.736015
Sutter,2018,276.718076
Tehama,2018,230.819204
Trinity,2018,10.059306
Tulare,2018,1253.7610789999999
Tuolumne,2018,208.350588
Ventura,2018,1790.1010899999999
Yolo,2018,514.508284
Yuba,2018,218.67605099999997
Alameda,2017,2991.794416
Alpine,2017,9.951697
Amador,2017,143.50941799999998
Butte,2017,760.229021
Calaveras,2017,214.306906
Colusa,2017,68.094527
Contra Costa,2017,2885.7193829999997
Del Norte,2017,122.777146
El Dorado,2017,775.815183
Fresno,2017,2775.390144
Glenn,2017,95.62988399999999
Humboldt,2017,396.017892
Imperial,2017,627.71668
Inyo,2017,58.829985
Kern,2017,2329.682749
Kings,2017,378.598197
Lake,2017,295.119126
Lassen,2017,102.396497
Los Angeles,2017,20663.267936
Madera,2017,437.115345
Marin,2017,658.768076
Mariposa,2017,70.992959
Mendocino,2017,305.411623
Merced,2017,739.474762
Modoc,2017,59.637589
Mono,2017,90.45873
Monterey,2017,681.518818
Napa,2017,370.936231
Nevada,2017,470.02514800000006
Orange,2017,6810.132383
Placer,2017,1465.39437
Plumas,2017,98.283013
Riverside,2017,7623.093448999999
Sacramento,2017,5140.711079
San Benito,2017,123.429321
San Bernardino,2017,5156.794899
San Diego,2017,6880.1418969999995
San Francisco,2017,1468.712311
San Joaquin,2017,1866.1367289999998
San Luis Obispo,2017,649.125047
San Mateo,2017,1521.918332
Santa Barbara,2017,763.7644280000001
Santa Clara,2017,3958.432151
Santa Cruz,2017,553.263908
Shasta,2017,757.553974
Sierra,2017,13.623342000000001
Siskiyou,2017,234.795121
Solano,2017,1069.989087
Sonoma,2017,1324.830145
Stanislaus,2017,1840.162714
Sutter,2017,289.839842
Tehama,2017,239.58494100000001
Trinity,2017,11.455945
Tulare,2017,1275.859738
Tuolumne,2017,216.92814199999998
Ventura,2017,1825.9937579999998
Yolo,2017,537.975047
Yuba,2017,228.01212599999997
Alameda,2016,2917.342741
Alpine,2016,9.290913
Amador,2016,135.51647
Butte,2016,721.205754
Calaveras,2016,197.961265
Colusa,2016,64.507307
Contra Costa,2016,2752.03388
Del Norte,2016,112.339303
El Dorado,2016,750.163604
Fresno,2016,2643.411511
Glenn,2016,90.691671
Humboldt,2016,398.940611
Imperial,2016,544.540489
Inyo,2016,62.54190799999999
Kern,2016,2245.168424
Kings,2016,363.74922599999996
Lake,2016,282.108453
Lassen,2016,99.85807199999999
Los Angeles,2016,20287.955921
