"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","Total Usage"
"ALAMEDA","Non-Residential","    7619.304491","    7445.556909","    8087.656147","    7873.882100","    7341.708151","    7408.645462","    7634.447579","    7592.708714","    7955.624590","    7701.202729","   76660.736872"
"ALAMEDA","Residential","    3064.781376","    2945.804917","    2991.794416","    2917.342741","    2893.676837","    2891.232325","    2984.213677","    2998.246885","    3023.830340","    3021.008265","   29731.931779"
"ALPINE","Non-Residential","       8.774426","       9.283298","       9.025215","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","      63.316312"
"ALPINE","Residential","      10.131788","       9.420910","       9.951697","       9.290913","      11.855504","      11.974975","      13.424431","       9.298178","       9.093424","      12.451971","     106.893791"
"AMADOR","Non-Residential","     177.195934","     167.197304","     169.803448","     173.577629","     152.516800","     154.757105","     170.871558","     180.777745","     169.941664","     175.688511","    1692.327698"
"AMADOR","Residential","     140.689119","     136.895373","     143.509418","     135.516470","     132.791638","     134.744387","     139.472718","     141.054038","     140.216069","     139.890453","    1384.779683"
"BUTTE","Non-Residential","     726.917845","     758.045561","     769.589586","     760.868006","     779.710133","     770.537084","     773.135389","     768.007049","     708.437380","     699.309165","    7514.557198"
"BUTTE","Residential","     669.328499","     717.743260","     760.229021","     721.205754","     712.388497","     718.947064","     729.845116","     738.780910","     725.656559","     718.735943","    7212.860623"
"CALAVERAS","Non-Residential","     125.193717","     130.520234","     133.624531","     118.182336","     120.464880","     127.127444","     126.923925","     125.123322","     125.688377","     117.987276","    1250.836042"
"CALAVERAS","Residential","     205.365353","     201.833277","     214.306906","     197.961265","     191.155224","     192.543967","     199.732952","     201.495546","     200.495354","     197.983760","    2002.873604"
"COLUSA","Non-Residential","     217.852047","     232.008950","     224.493531","     232.370081","     242.069652","     239.585285","     233.400276","     214.309143","     206.510720","     192.691345","    2235.291030"
"COLUSA","Residential","      67.633093","      65.118218","      68.094527","      64.507307","      64.133314","      64.722845","      64.770037","      65.641094","      64.365759","      63.400659","     652.386853"
"CONTRA COSTA","Non-Residential","    6705.267486","    6456.329245","    6804.169636","    6837.751890","    6737.327255","    6856.876468","    6368.628410","    6335.123617","    6352.323557","    6382.065189","   65835.862753"
"CONTRA COSTA","Residential","    2934.141948","    2802.510934","    2885.719383","    2752.033880","    2730.006314","    2731.309642","    2765.959761","    2767.558456","    2750.847487","    2733.437190","   27853.524995"
"DEL NORTE","Non-Residential","      93.092692","      92.805494","      94.153699","      92.362672","      95.752235","      93.307921","      99.444234","     100.004484","     105.835595","     108.208779","     974.967805"
"DEL NORTE","Residential","     117.160978","     114.221353","     122.777146","     112.339303","     116.131782","     110.109643","     126.533004","     127.752553","     132.186078","     133.518388","    1212.730228"
"EL DORADO","Non-Residential","     460.489546","     469.090856","     479.460555","     460.084823","     449.133506","     468.718054","     485.293929","     488.102454","     480.680149","     476.557161","    4717.611033"
"EL DORADO","Residential","     767.401080","     745.355819","     775.815183","     750.163604","     720.944651","     721.053363","     756.189231","     764.653388","     762.542842","     763.164377","    7527.283538"
"FRESNO","Non-Residential","    4590.958830","    4876.051392","    4605.343633","    4937.744443","    5000.185874","    4976.327914","    4811.390286","    4672.291728","    4291.360717","    4355.553354","   47117.208171"
"FRESNO","Residential","    2796.305742","    2726.357511","    2775.390144","    2643.411511","    2655.810295","    2692.471908","    2687.651100","    2704.692954","    2589.907104","    2545.434294","   26817.432563"
"GLENN","Non-Residential","     297.269914","     315.061495","     295.350036","     275.396752","     293.929748","     289.859431","     256.884296","     213.683522","     203.126836","     206.201295","    2646.763325"
"GLENN","Residential","      96.828073","      92.096943","      95.629884","      90.691671","      90.110176","      91.392872","      92.806720","      93.675018","      91.818337","      91.069867","     926.119561"
"HUMBOLDT","Non-Residential","     422.992092","     428.053986","     428.259118","     437.411749","     434.660543","     444.969853","     449.678170","     434.786575","     439.827059","     448.537833","    4369.176978"
"HUMBOLDT","Residential","     368.372080","     371.939616","     396.017892","     398.940611","     390.005025","     395.915896","     441.833830","     465.727480","     476.234610","     478.859617","    4183.846657"
"IMPERIAL","Non-Residential","     840.589655","     831.318924","     817.450656","     895.952526","     884.977279","     910.369717","     920.033589","     931.260079","     915.344630","     894.413782","    8841.710837"
"IMPERIAL","Residential","     575.201252","     636.271713","     627.716680","     544.540489","     534.110851","     536.118501","     530.486395","     539.419827","     513.962429","     497.948453","    5535.776590"
"INYO","Non-Residential","     149.729556","     151.063500","     145.808063","     167.658785","     151.156988","     154.195049","     172.985481","     179.612457","     179.955851","     172.162083","    1624.327813"
"INYO","Residential","      58.876761","      58.159198","      58.829985","      62.541908","      57.033989","      60.788615","      60.135328","      60.787463","      57.616488","      57.596003","     592.365738"
"KERN","Non-Residential","   14763.635346","   13577.889240","   16162.902109","   14302.659306","   12934.380243","   12029.597495","   12789.560140","   14430.024050","   13810.861757","   12859.102508","  137660.612194"
"KERN","Residential","    2341.447042","    2339.481264","    2329.682749","    2245.168424","    2247.957532","    2294.846631","    2269.736309","    2274.029024","    2141.107514","    2095.448973","   22578.905462"
"KINGS","Non-Residential","    1204.046484","    1384.570654","    1119.249238","    1415.392031","    1406.795678","    1440.828508","    1413.629012","    1311.483513","    1068.283013","    1103.709274","   12867.987405"
"KINGS","Residential","     379.024862","     373.808497","     378.598197","     363.749226","     366.854066","     376.278996","     371.162072","     368.995723","     354.516431","     348.675310","    3681.663380"
"LAKE","Non-Residential","     159.989311","     162.121731","     168.751080","     158.512985","     154.606151","     156.038736","     167.774980","     164.288539","     161.092178","     159.980671","    1613.156362"
"LAKE","Residential","     286.081982","     279.501151","     295.119126","     282.108453","     276.024932","     285.277351","     302.323175","     302.174953","     298.254956","     294.395146","    2901.261225"
"LASSEN","Non-Residential","     301.359937","     310.142252","     283.294497","     357.347876","     305.526557","     337.498510","     321.422025","     307.783489","     297.823144","     281.103735","    3103.302022"
"LASSEN","Residential","     102.396546","     100.843453","     102.396497","      99.858072","      95.061273","      94.366525","     104.522248","     102.337641","     103.700947","     104.852577","    1010.335779"
"LOS ANGELES","Non-Residential","   46556.118166","   47391.361758","   47993.452246","   49126.088735","   49099.767206","   49210.645369","   47762.011406","   48195.136531","   48132.754432","   48536.788399","  482004.124248"
"LOS ANGELES","Residential","   19562.554839","   20516.120867","   20663.267936","   20287.955921","   20432.526183","   20742.773777","   20611.287007","   21076.224921","   20064.618265","   19721.279522","  203678.609238"
"MADERA","Non-Residential","    1129.038921","    1222.081318","    1150.947080","    1167.888586","    1278.749349","    1239.450048","    1148.515557","    1100.151022","     971.949923","     970.445234","   11379.217038"
"MADERA","Residential","     438.968992","     427.539581","     437.115345","     418.560126","     418.868140","     424.632948","     429.067921","     430.304184","     415.376062","     408.425050","    4248.858349"
"MARIN","Non-Residential","     685.777193","     680.837759","     725.214803","     690.956158","     702.492918","     702.756588","     711.990858","     701.827775","     706.341752","     722.457806","    7030.653610"
"MARIN","Residential","     669.565552","     647.411703","     658.768076","     651.422731","     651.961002","     652.468169","     684.089848","     689.272331","     701.889790","     702.412945","    6709.262147"
"MARIPOSA","Non-Residential","      38.468398","      43.772493","      40.434150","      38.803444","      39.184617","      41.201955","      41.520911","      40.689926","      39.092265","      39.670516","     402.838675"
"MARIPOSA","Residential","      71.262658","      68.981471","      70.992959","      68.866950","      67.420439","      68.518983","      71.674818","      72.272391","      71.830222","      72.512063","     704.332954"
"MENDOCINO","Non-Residential","     270.759920","     275.421001","     279.587063","     277.579403","     273.046716","     268.865769","     268.788125","     268.655657","     266.039641","     260.485880","    2709.229175"
"MENDOCINO","Residential","     291.502962","     289.023774","     305.411623","     300.495054","     293.831803","     295.178797","     324.404441","     333.082898","     337.272708","     339.759793","    3109.963853"
"MERCED","Non-Residential","    2969.489496","    2836.620436","    3226.604043","    2758.477493","    2214.445056","    2301.531335","    2358.938780","    2600.509694","    2980.374516","    2737.880982","   26984.871831"
"MERCED","Residential","     729.116937","     714.720374","     739.474762","     704.393898","     705.984756","     718.481282","     697.945877","     703.832370","     676.900572","     657.921490","    7048.772318"
