Year,Waste Produced (Tons),County,Population,Electricity Usage (GWh)
2000.0,1676429.25,Alameda,1443939.0,2926.106226000001
2000.0,745.0,Alpine,1208.0,6.247035
2000.0,41059.9,Amador,35100.0,127.238094
2000.0,203896.87,Butte,203171.0,705.766172
2000.0,34110.44,Calaveras,40554.0,173.57840900000005
2000.0,21296.16,Colusa,18804.0,56.692548
2000.0,864091.82,Contra Costa,948816.0,2636.955361
2000.0,18652.39,Del Norte,27507.0,113.613677
2000.0,5319.03,El Dorado,156299.0,659.090595
2000.0,763968.5,Fresno,799407.0,2280.80589
2000.0,19557.07,Glenn,26453.0,85.039992
2000.0,12577.48,Humboldt,126518.0,310.706164
2000.0,181627.5,Imperial,142361.0,370.534379
2000.0,16279.46,Inyo,18071.0,50.570005
2000.0,669585.71,Kern,661653.0,1714.0948469999996
2000.0,93873.35,Kings,129461.0,291.393185
2000.0,46778.52,Lake,58325.0,243.295839
2000.0,11491.16,Lassen,33828.0,103.681384
2000.0,12237445.21,Los Angeles,9519330.0,18891.636154
2000.0,98321.12,Madera,123109.0,339.66385
2000.0,216211.18,Marin,247289.0,701.191633
2000.0,12684.09,Mariposa,17130.0,64.72784899999999
2000.0,59580.17,Mendocino,86265.0,279.353313
2000.0,206467.26,Merced,210554.0,555.908097
2000.0,72.0,Modoc,9449.0,55.575865
2000.0,27233.44,Mono,12853.0,91.895434
2000.0,422302.12,Monterey,401762.0,720.998598
2000.0,133847.31,Napa,124279.0,349.180477
2000.0,17350.02,Nevada,92033.0,378.249161
2000.0,3803041.49,Orange,2846289.0,6362.08452
2000.0,213410.5,Placer,248399.0,976.120456
2000.0,1310.57,Plumas,20824.0,92.930694
2000.0,1649413.37,Riverside,1545387.0,4908.388078
2000.0,941057.65,Sacramento,1223499.0,4140.894025
2000.0,66434.16,San Benito,53234.0,109.680197
2000.0,1762385.98,San Bernardino,1710139.0,3950.485414
2000.0,3408059.62,San Diego,2813833.0,5853.1826740000015
2000.0,872707.49,San Francisco,776733.0,1414.769693
2000.0,677344.35,San Joaquin,563598.0,1461.392803
2000.0,257335.62,San Luis Obispo,246681.0,599.985287
2000.0,911601.44,San Mateo,707163.0,1586.723337
2000.0,446328.88,Santa Barbara,399347.0,773.0805790000002
2000.0,1640208.36,Santa Clara,1682585.0,3816.306476
2000.0,269697.59,Santa Cruz,255602.0,599.387426
2000.0,171144.66,Shasta,163256.0,653.242309
2000.0,2820.0,Sierra,3555.0,14.627973
2000.0,15336.5,Siskiyou,44301.0,222.355284
2000.0,353832.4,Solano,394930.0,939.74254
2000.0,531409.29,Sonoma,458614.0,1199.60919
2000.0,207878.35,Stanislaus,446997.0,1447.537253
2000.0,44538.78,Tehama,56039.0,200.151209
2000.0,5979.43,Trinity,13022.0,7.86844
2000.0,324877.46,Tulare,368021.0,961.793645
2000.0,1404.87,Tuolumne,54504.0,207.413963
2000.0,892546.33,Ventura,753197.0,1652.825475
2000.0,174755.11,Yolo,168660.0,444.357399
2000.0,134134.2,Yuba,60219.0,155.189758
2001.0,1629208.38,Alameda,1457185.0,2745.201964
2001.0,728.0,Alpine,1220.0,6.858447999999999
2001.0,38798.99,Amador,35495.0,121.403464
2001.0,206093.63,Butte,204591.0,604.6957990000002
2001.0,35812.22,Calaveras,41042.0,168.843345
2001.0,19379.1,Colusa,18974.0,53.398152
2001.0,950434.93,Contra Costa,962076.0,2371.221596
2001.0,18769.1,Del Norte,27434.0,114.904332
2001.0,6828.16,El Dorado,160079.0,635.349995
2001.0,733055.43,Fresno,808611.0,2082.55798
2001.0,18911.44,Glenn,26584.0,79.871643
2001.0,9428.74,Humboldt,127011.0,296.904247
2001.0,182587.28,Imperial,143941.0,464.963026
2001.0,17632.01,Inyo,18162.0,48.276775
2001.0,689430.43,Kern,672004.0,1635.050195
2001.0,97316.36,Kings,131100.0,283.642465
2001.0,47231.51,Lake,59260.0,237.513724
2001.0,12699.22,Lassen,33763.0,94.630059
2001.0,12263807.08,Los Angeles,9590080.0,18212.579374
2001.0,103606.47,Madera,125359.0,324.816593
2001.0,236557.6,Marin,247590.0,638.295989
2001.0,11729.12,Mariposa,17163.0,61.516209
2001.0,60053.43,Mendocino,86825.0,256.263792
2001.0,213647.28,Merced,214203.0,539.405924
2001.0,30785.25,Mono,13034.0,86.207241
2001.0,421176.42,Monterey,404569.0,684.045029
2001.0,160401.75,Napa,125396.0,325.803071
2001.0,18078.37,Nevada,92693.0,363.371126
2001.0,3848148.08,Orange,2871926.0,5575.79968
2001.0,246004.95,Placer,258293.0,979.277386
2001.0,1249.2,Plumas,20681.0,92.753371
2001.0,1739298.57,Riverside,1589708.0,4682.530494
2001.0,1002216.48,Sacramento,1248072.0,4033.818882
2001.0,64537.44,San Benito,54165.0,105.787842
2001.0,1888556.78,San Bernardino,1741416.0,3717.427367
2001.0,3739143.1,San Diego,2849238.0,5494.491615999998
2001.0,856063.8,San Francisco,780614.0,1345.601676
2001.0,721085.63,San Joaquin,578121.0,1410.462637
2001.0,293688.22,San Luis Obispo,249687.0,625.807411
2001.0,883177.28,San Mateo,707965.0,1475.197714
2001.0,622868.1,Santa Barbara,401667.0,736.790972
2001.0,1545436.62,Santa Clara,1690366.0,3632.523894
2001.0,246954.49,Santa Cruz,256031.0,545.836675
2001.0,164453.1,Shasta,165590.0,639.896422
2001.0,2721.23,Sierra,3603.0,14.826266
2001.0,15770.0,Siskiyou,44331.0,212.440059
2001.0,412885.1,Solano,399476.0,877.676392
2001.0,543029.49,Sonoma,462958.0,1117.001221
2001.0,238902.94,Stanislaus,456423.0,1429.1574460000004
2001.0,44892.98,Tehama,56149.0,189.92076
2001.0,6120.83,Trinity,12961.0,7.554642999999999
