County,Total Residential Tons,Electricity Usage
ALAMEDA,405147,2891.232325
ALPINE,291,11.974975
AMADOR,8799,134.74438700000002
BUTTE,55883,718.947064
CALAVERAS,11400,192.54396699999998
COLUSA,5532,64.72284499999999
CONTRA COSTA,283772,2731.309642
DEL NORTE,6106,110.10964299999999
EL DORADO,46432,721.053363
FRESNO,246630,2692.471908
GLENN,7232,91.392872
HUMBOLDT,33039,395.915896
IMPERIAL,45159,536.1185009999999
INYO,4648,60.788615
KERN,217883,2294.846631
KINGS,34263,376.278996
LAKE,16105,285.27735099999995
LASSEN,5904,94.366525
LOS ANGELES,2565550,20742.773777000002
MADERA,37707,424.63294800000006
MARIN,64859,652.468169
MARIPOSA,4448,68.51898299999999
MENDOCINO,22032,295.17879700000003
MERCED,67789,718.4812820000001
MODOC,2369,53.515556999999994
MONO,3416,87.69288399999999
MONTEREY,106232,684.290192
NAPA,34961,364.662282
NEVADA,24706,407.094148
ORANGE,798973,7032.7346959999995
PLACER,94361,1370.790232
PLUMAS,5000,98.122899
RIVERSIDE,590028,6763.139781
SACRAMENTO,375574,4708.0981329999995
SAN BENITO,14341,115.49750900000001
SAN BERNARDINO,536080,4749.693015999999
SAN DIEGO,811199,6855.540414
SAN FRANCISCO,214592,1436.097607
SAN JOAQUIN,183159,1762.8874879999998
SAN LUIS OBISPO,66835,629.9200089999999
SAN MATEO,193000,1505.2698619999999
SANTA BARBARA,109099,804.131553
SANTA CLARA,483851,3844.162094
SANTA CRUZ,66826,558.75025
SHASTA,44812,724.0686910000001
SIERRA,813,13.27525
SISKIYOU,11265,215.40796600000002
SOLANO,107166,1007.8038740000001
SONOMA,125350,1286.568562
STANISLAUS,136114,1716.5681600000003
SUTTER,24617,276.569295
TEHAMA,16080,231.001181
TRINITY,3388,10.266434
TULARE,117688,1221.371347
TUOLUMNE,13092,206.254682
VENTURA,215568,1904.7917530000002
YOLO,51697,507.245608
YUBA,18632,214.329404
