,Total U.S.2 (Number of housing units (million)),"Total Average energy expenditures 
(dollars per household using the end use)",Space heating3,Water heating,Air condi-tioning,Refrig-erators,Other4
All homes,118.2,"1,856",543,296,265,103,714
Census region and division,  ,  ,  ,  ,  ,  ,  
Northeast,21,"2,269",850,335,174,120,834
New England,5.6,"2,541","1,046",379,127,124,926
Middle Atlantic,15.4,"2,169",779,318,188,118,800
Midwest,26.4,"1,760",604,246,148,99,681
East North Central,18.1,"1,762",612,247,140,101,676
West North Central,8.3,"1,757",587,243,166,96,691
South,44.4,"1,917",465,323,392,93,694
South Atlantic,23.5,"1,963",488,344,386,95,714
East South Central,7.2,"1,907",509,357,304,85,678
West South Central,13.8,"1,843",402,270,447,93,670
West,26.4,"1,518",344,269,220,110,683
Mountain,8.5,"1,638",399,261,272,101,680
Mountain North,4.2,"1,586",489,250,107,102,670
Mountain South,4.3,"1,688",302,272,412,99,690
Pacific,17.9,"1,461",314,272,192,115,685
Census urban/rural classification5,  ,  ,  ,  ,  ,  ,  
Urban,94.7,"1,773",495,274,269,102,694
Urbanized area,82.2,"1,782",488,272,279,104,705
Urban cluster,12.5,"1,710",540,286,202,92,625
Rural,23.5,"2,190",737,382,253,105,791
Metropolitan or micropolitan statistical area,  ,  ,  ,  ,  ,  ,  
In metropolitan statistical area,98.5,"1,840",520,287,274,105,723
In micropolitan statistical area,12.3,"1,861",626,325,195,91,657
Not in metropolitan or micropolitan statistical area,7.4,"2,050",714,368,270,96,688
Climate region6,  ,  ,  ,  ,  ,  ,  
Very cold/Cold,42.5,"1,874",676,274,120,102,730
Mixed-humid,33.5,"2,086",655,345,262,102,746
Mixed-dry/Hot-dry,12.7,"1,484",221,240,319,117,692
Hot-humid,22.8,"1,800",299,290,525,96,661
Marine,6.7,"1,479",392,311,60,109,666
Housing unit type,  ,  ,  ,  ,  ,  ,  
Single-family detached,73.9,"2,188",664,302,328,116,841
Single-family attached,7,"1,602",489,261,211,97,597
Apartments in buildings with 2–4 units,9.4,"1,329",375,281,136,80,506
Apartments in buildings with 5 or more units,21.1,"1,045",203,254,126,78,427
Mobile homes,6.8,"1,750",488,415,218,79,628
Ownership of housing unit,  ,  ,  ,  ,  ,  ,  
Owned,74.5,"2,146",650,299,315,117,829
Single-family,66.2,"2,208",674,293,326,119,853
Apartments,3.3,"1,476",336,257,220,122,630
Mobile homes,5,"1,768",493,394,227,83,646
Rented7,43.7,"1,360",356,291,174,79,516
Single-family,14.7,"1,818",533,320,277,92,671
Apartments,27.2,"1,090",250,263,117,73,429
Mobile homes,1.8,"1,702",475,471,191,68,578
Year of construction,  ,  ,  ,  ,  ,  ,  
Before 1950,20.8,"1,901",683,277,219,98,684
1950 to 1959,12.6,"1,861",622,268,269,100,670
1960 to 1969,12.8,"1,756",557,254,288,99,651
1970 to 1979,18.3,"1,765",542,291,256,99,645
1980 to 1989,16,"1,747",430,297,270,102,715
1990 to 1999,16.8,"1,937",501,326,284,111,776
2000 to 2009,17,"2,013",476,333,291,114,843
2010 to 2015,3.8,"1,755",415,348,241,91,703
Total square footage8,  ,  ,  ,  ,  ,  ,  
"Fewer than 1,000",26.6,"1,126",263,261,134,77,443
"1,000 to 1,499",26.1,"1,569",400,313,229,87,598
"1,500 to 1,999",17.5,"1,919",567,302,316,107,698
"2,000 to 2,499",14.1,"2,088",625,306,306,114,791
"2,500 to 2,999",10.8,"2,282",749,285,314,118,867
"3,000 or greater",23.1,"2,631",834,310,355,133,"1,049"
Number of household members,  ,  ,  ,  ,  ,  ,  
1 member,28.7,"1,319",466,155,198,88,470
2 members,42.7,"1,849",564,260,272,106,709
3 members,19.4,"2,009",570,352,277,105,773
4 members,15.5,"2,274",570,428,313,112,920
5 members,7.2,"2,338",572,489,331,109,913
6 or more members,4.6,"2,457",595,524,293,112,"1,021"
2015 annual household income,  ,  ,  ,  ,  ,  ,  
"Less than $20,000",22.9,"1,421",437,274,198,78,500
"$20,000 to $39,999",27.3,"1,629",502,281,230,92,595
"$40,000 to $59,999",18.4,"1,778",516,296,267,97,659
"$60,000 to $79,999",15.2,"1,940",580,316,258,106,745
"$80,000 to $99,999",9.7,"2,014",567,300,287,118,794
"$100,000 to $119,999",8.1,"2,187",632,316,301,120,868
"$120,000 to $139,999",5.4,"2,396",678,331,360,129,958
"$140,000 or more",11.2,"2,669",702,313,382,147,"1,188"
Payment method for energy bills,  ,  ,  ,  ,  ,  ,  
All paid by household,105.8,"1,927",570,300,278,105,741
"Some paid by household, some included in rent or condo fee",6.1,"1,220",328,236,137,96,462
All included in rent or condo fee,5.5,"1,262",294,276,171,81,491
Some other method,0.9,"1,369",376,266,182,69,533
Main heating fuel,  ,  ,  ,  ,  ,  ,  
Natural gas,57.7,"1,875",510,229,268,113,788
